formula
B0.815 Si0.06 Fe0.125 
B0.34 Al0.12 Co0.54 
Al0.5 Ti0.45 Cu0.05 
Al0.75 Ni0.15 Y0.1 
Mg0.75 Zn0.2 La0.05 
Al0.73 Ni0.2 Zr0.07 
Al0.86 Ni0.04 Nd0.1 
Al0.3 Ca0.7 
Mg0.7 Ni0.2 Y0.1 
Al0.9 Sm0.1 
B0.26 Al0.24 Co0.5 
Al0.83 Ni0.1 Sm0.07 
B0.42 Al0.04 Ni0.54 
B0.26 Al0.2 Fe0.54 
B0.38 C0.06 Ni0.56 
Al0.89 Ni0.01 Sm0.1 
Al0.89 Ce0.11 
Al0.45 Ti0.55 
Al0.84 Ni0.08 Nd0.08 
B0.425 C0.025 Ni0.55 
B0.41 Co0.59 
B0.34 C0.1 Ni0.56 
Be0.2 Si0.05 Ti0.75 
Al0.6 Ti0.2 Cu0.2 
Al0.85 V0.05 Ce0.1 
Al0.87 Nb0.05 Ce0.08 
Al0.65 Mn0.15 Cu0.2 
Al0.65 V0.1 Cu0.25 
B0.4 C0.02 Co0.58 
B0.28 C0.16 Ni0.56 
Al0.85 Nb0.1 Ce0.05 
Mg0.75 Ca0.1 Ag0.15 
Al0.85 Cr0.05 Ce0.1 
Al0.75 Co0.2 Ce0.05 
Al0.65 Cr0.2 Ge0.15 
B0.38 Al0.08 Ni0.54 
Al0.83 Ni0.1 Gd0.07 
Be0.15 Si0.15 Ti0.7 
Mg0.725 Ca0.125 Pd0.15 
Mg0.7 Cu0.2 Y0.1 
Mg0.8 Ni0.1 La0.1 
Al0.85 Mn0.05 Ce0.1 
B0.3 Al0.2 Ni0.5 
Al0.82 Ni0.1 Ce0.08 
Al0.9 Gd0.1 
Al0.7 Ni0.25 Zr0.05 
Al0.85 Ni0.06 Nd0.09 
Al0.85 Ni0.07 Gd0.08 
B0.42 C0.02 Ni0.56 
Al0.85 Fe0.05 Ce0.1 
Al0.85 Ni0.05 La0.1 
Al0.75 Ni0.15 Mo0.1 
Mg0.65 Ni0.3 Y0.05 
B0.3 Al0.16 Co0.54 
Al0.68 V0.1 Ge0.22 
B0.4 Co0.6 
Al0.85 Co0.05 Ce0.1 
Al0.85 Cu0.05 La0.1 
Al0.5 Ti0.4 Cu0.1 
Mg0.8 Ni0.1 Ce0.1 
Mg0.8 Cu0.1 La0.1 
Mg0.8 Y0.1 Ag0.1 
Si0.7 Ti0.2 Zr0.1 
Al0.75 Ni0.2 La0.05 
Al0.7 Ni0.25 Mo0.05 
Al0.32 Ca0.63 Cu0.05 
Mg0.75 Cu0.05 Y0.2 
Al0.85 Ni0.05 Ce0.1 
Al0.75 Ni0.2 Ce0.05 
Al0.65 Mn0.2 Ge0.15 
Al0.7 V0.05 Ge0.25 
Al0.82 Ni0.1 Nd0.08 
Al0.83 Cr0.07 Ce0.1 
B0.32 C0.08 Co0.6 
Al0.45 Ti0.5 Cu0.05 
Al0.85 Cu0.05 Ce0.1 
Mg0.65 Zn0.35 
Al0.65 V0.05 Cu0.3 
Al0.65 V0.15 Ge0.2 
Mg0.8 Cu0.1 Ce0.1 
Al0.84 Ni0.06 La0.1 
Al0.85 Ni0.06 Sm0.09 
B0.28 C0.12 Co0.6 
Al0.85 Zr0.075 La0.075 
B0.42 Ni0.58 
Al0.74 Ni0.14 Zr0.12 
Si0.75 Ti0.12 Zr0.13 
Al0.83 Mn0.07 Ce0.1 
Al0.69 V0.06 Ge0.25 
Al0.75 Ni0.2 Nd0.05 
Mg0.6 Al0.05 Zn0.35 
B0.24 C0.16 Co0.6 
B0.34 Al0.12 Ni0.54 
Al0.4 Ti0.6 
Al0.75 Ni0.1 Y0.15 
B0.34 Al0.08 Co0.58 
B0.2 C0.2 Co0.6 
Al0.88 Ce0.12 
Be0.2 Ti0.8 
Mg0.8 Ni0.1 Nd0.1 
Al0.85 Nb0.075 La0.075 
B0.4 C0.04 Ni0.56 
B0.26 Al0.24 Ni0.5 
Al0.83 Ni0.08 Nd0.09 
Mg0.7 Ni0.15 Y0.15 
Al0.85 Ni0.05 Nd0.1 
Al0.75 Ni0.2 Sm0.05 
Al0.75 Cu0.2 Ce0.05 
B0.26 Al0.16 Fe0.58 
B0.3 C0.12 Ni0.58 
Al0.7 Ni0.22 Zr0.08 
Al0.69 Mn0.06 Ge0.25 
Al0.85 Mo0.075 La0.075 
B0.26 Al0.2 Co0.54 
Al0.85 Ni0.06 Gd0.09 
Be0.15 Si0.1 Ti0.75 
Mg0.8 Cu0.1 Nd0.1 
Al0.8 V0.1 Ce0.1 
Al0.6 V0.15 Cu0.25 
Al0.69 Fe0.06 Ge0.25 
Mg0.7 Zn0.24 In0.06 
Mg0.65 Cu0.25 Y0.08 Gd0.02 
Mg0.7 Cu0.25 Ce0.05 
Al0.75 Ni0.2 Gd0.05 
Al0.8 Ni0.12 Nd0.08 
Al0.69 Co0.06 Ge0.25 
Mg0.7 Cu0.15 Y0.15 
Mg0.7 Zn0.24 Sn0.06 
Mg0.8 Y0.05 Ag0.15 
Al0.8 Cr0.1 Ce0.1 
Al0.84 Ni0.06 Nd0.1 
Al0.7 Ni0.2 Y0.1 
Al0.83 Ni0.08 Sm0.09 
B0.4 C0.02 Ni0.58 
B0.38 Co0.62 
Al0.88 Nd0.12 
Al0.45 Ti0.45 Cu0.1 
Mg0.7 Cu0.25 Nd0.05 
Al0.85 Ni0.05 Sm0.1 
Al0.69 Ni0.06 Ge0.25 
Mg0.8 Ni0.08 La0.12 
Mg0.3 Ca0.6 Ga0.1 
Mg0.65 Ni0.25 Y0.1 
Al0.8 Mn0.1 Ce0.1 
B0.3 Al0.16 Ni0.54 
Al0.7 Ni0.2 Zr0.1 
B0.3 Al0.12 Co0.58 
Al0.81 Ni0.1 Nd0.09 
B0.22 Al0.28 Ni0.5 
Mg0.65 Cu0.25 Y0.09 Gd0.01 
Mg0.75 Y0.25 
Mg0.725 Ca0.1 Pd0.175 
B0.36 C0.04 Co0.6 
Mg0.7 Zn0.25 La0.05 
Al0.65 V0.1 Ge0.25 
Al0.68 Ni0.24 Zr0.08 
Al0.83 Ni0.08 Gd0.09 
Al0.6 V0.1 Cu0.3 
B0.4 Ni0.6 
Al0.8 Fe0.1 Ce0.1 
Mg0.6 Cu0.4 
Al0.6 V0.2 Ge0.2 
B0.22 Al0.24 Co0.54 
Al0.85 Ni0.02 La0.13 
Al0.35 Ti0.65 
Al0.87 Ce0.13 
Al0.85 Ni0.05 Gd0.1 
B0.34 C0.06 Ni0.6 
Mg0.59 Cu0.4 Y0.01 
Al0.84 Ni0.04 Nd0.12 
Al0.88 Sm0.12 
B0.38 Al0.04 Ni0.58 
Mg0.25 Ca0.65 Cu0.1 
Mg0.75 Ni0.15 La0.1 
Al0.5 Ti0.3 Cu0.2 
Al0.85 Nb0.05 Ce0.1 
Al0.8 Co0.1 Ce0.1 
Al0.8 Ni0.1 La0.1 
Al0.82 Ni0.08 Nd0.1 
Al0.7 Ni0.2 Mo0.1 
Al0.81 Ni0.1 Sm0.09 
B0.36 C0.02 Co0.62 
B0.26 C0.14 Ni0.6 
Mg0.7 Ca0.125 Pd0.175 
Al0.75 Ni0.05 Y0.2 
Mg0.65 Cu0.25 Y0.1 
Al0.83 Nb0.1 Ce0.07 
Al0.7 Ni0.25 La0.05 
Al0.65 Ni0.3 Mo0.05 
Al0.83 Ni0.04 La0.13 
Si0.65 Ti0.23 Zr0.12 
Al0.85 V0.02 Ce0.13 
B0.34 Al0.08 Ni0.58 
B0.22 C0.18 Ni0.6 
Mg0.65 Cu0.2 Zn0.05 Y0.1 
Mg0.25 Ca0.65 Zn0.1 
Be0.1 Si0.15 Ti0.75 
Mg0.7 Ni0.1 Y0.2 
Mg0.75 Ni0.15 Ce0.1 
Al0.8 Ni0.1 Ce0.1 
Al0.8 Cu0.1 La0.1 
Al0.3 Ca0.6 Ga0.1 
Al0.84 Ni0.06 Gd0.1 
Mg0.46 Al0.18 Ga0.36 
B0.26 Al0.2 Ni0.54 
B0.26 Al0.16 Co0.58 
Al0.6 Ti0.05 Cu0.35 
Mg0.75 Cu0.15 La0.1 
Al0.66 Ni0.26 Zr0.08 
B0.36 Co0.64 
Be0.3575969485060394 Ti0.21932612841703752 Ni0.15893197711379528 Cu0.19866497139224407 Zr0.06547997457088366 
Al0.81 Ni0.1 Gd0.09 
Si0.7 Ti0.15 Zr0.15 
Al0.6 V0.05 Cu0.35 
Mg0.45 Ca0.25 Cu0.3 
Mg0.7 Cu0.1 Y0.2 
Al0.4 Ti0.5 Cu0.1 
Al0.8 Cu0.1 Ce0.1 
Mg0.71 Zn0.22 La0.07 
Al0.88 Gd0.12 
Al0.7 Ni0.15 Y0.15 
Mg0.75 Cu0.15 Ce0.1 
B0.28 C0.08 Co0.64 
Al0.86 La0.14 
Al0.7 Ni0.16 Zr0.14 
Al0.35 Ti0.6 Cu0.05 
Mg0.85 Nd0.15 
Mg0.75 Ni0.15 Nd0.1 
Mg0.6 Zn0.4 
Mg0.65 Ni0.3 Nd0.05 
B0.24 C0.12 Co0.64 
Mg0.72 Zn0.2 La0.08 
Al0.8 Ni0.1 Nd0.1 
Al0.65 V0.05 Ge0.3 
B0.33 Mn0.268 Co0.402 
B0.34 Al0.04 Co0.62 
B0.2 C0.16 Co0.64 
Mg0.65 Ni0.2 Y0.15 
Al0.6 V0.15 Ge0.25 
B0.38 Ni0.62 
Li0.0996 Mg0.08539999999999999 Ca0.65 Zn0.165 
B0.3 Al0.08 Co0.62 
B0.16 C0.2 Co0.64 
Al0.3 Ti0.7 
B0.3 Al0.12 Ni0.58 
Be0.35 Ti0.45 Zr0.2 
B0.22 Al0.16 Fe0.62 
B0.35 Co0.65 
Al0.7 Ni0.15 Zr0.15 
Mg0.5 Al0.1 Zn0.4 
Mg0.2 Ca0.7 Cu0.1 
Al0.77 Co0.13 Ce0.1 
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Y0.075 Ag0.05 Gd0.025 
B0.22 Al0.24 Ni0.54 
B0.25 Cr0.7 Fe0.05 
Mg0.25 Ca0.6 Cu0.15 
Al0.45 Ti0.35 Cu0.2 
Mg0.75 Cu0.15 Nd0.1 
Mg0.65 Cu0.3 La0.05 
Al0.79 Ni0.11 Nd0.1 
B0.22 Al0.2 Co0.58 
B0.28 C0.1 Ni0.62 
Al0.64 Ni0.28 Zr0.08 
B0.26 C0.12 Ni0.62 
Li0.0969 Mg0.08310000000000001 Ca0.65 Zn0.17 
Mg0.3 Ca0.5 Cu0.2 
Mg0.725 Ca0.075 Pd0.2 
Mg0.65 Cu0.3 Ce0.05 
Mg0.75 Ca0.05 Ag0.2 
Mg0.4 Al0.2 Zn0.4 
Al0.8 Ni0.1 Sm0.1 
Al0.6 Cu0.4 
B0.32 Mn0.27 Co0.41 
Al0.64 Ni0.1 Ge0.26 
Mg0.65 Cu0.2 Y0.15 
Al0.75 Fe0.15 Ce0.1 
B0.33 Mn0.134 Co0.536 
B0.32 Mn0.24 Co0.44 
Mg0.72 Ni0.18 Ce0.1 
Mg0.25 Ca0.6 Zn0.15 
Be0.2 B0.1 Fe0.7 
Mg0.65 Cu0.3 Nd0.05 
Si0.65 Ti0.2 Zr0.15 
Al0.55 Ti0.1 Cu0.35 
Mg0.6 Ni0.3 Y0.1 
B0.34 Co0.66 
B0.32 Mn0.21600000000000005 Co0.464 
B0.32 Mn0.21 Co0.47 
Al0.57 V0.18 Ge0.25 
Mg0.8 Ni0.05 La0.15 
B0.32 Mn0.2 Co0.48 
Al0.86 Nd0.14 
B0.26 Al0.12 Co0.62 
Mg0.7 Ca0.1 Pd0.2 
Mg0.75 Ni0.15 Gd0.1 
Al0.5 Ti0.2 Cu0.3 
Al0.75 Co0.15 Ce0.1 
Al0.55 V0.1 Cu0.35 
Al0.8 Ni0.1 Gd0.1 
Al0.61 Cr0.1 Ge0.29 
B0.31 Mn0.28 Co0.41 
B0.26 Al0.16 Ni0.58 
B0.18 Al0.2 Fe0.62 
Al0.81 Ni0.06 La0.13 
Al0.75 Ni0.15 La0.1 
Al0.62 Ni0.3 Zr0.08 
B0.32 C0.04 Co0.64 
Mg0.74 Ni0.15 Ag0.01 Gd0.1 
B0.32 Mn0.14 Co0.54 
B0.32 Mn0.136 Co0.544 
B0.32 Mn0.135 Co0.545 
Al0.6 V0.1 Ge0.3 
Mg0.15 Ca0.75 Cu0.1 
Al0.7 Ni0.1 Y0.2 
Mg0.7 Ni0.2 La0.1 
Al0.62 Ni0.13 Ge0.25 
Mg0.2 Ca0.65 Cu0.15 
Al0.25 Ti0.75 
Mg0.8 Cu0.05 Ce0.15 
B0.3 Si0.05 Co0.65 
Al0.75 Ni0.15 Ce0.1 
Al0.65 Ni0.3 Ce0.05 
Al0.55 V0.2 Ge0.25 
Mg0.73 Ni0.15 Ag0.02 Gd0.1 
B0.225 Si0.175 Co0.6 
Mg0.57 Cu0.315 Y0.08 Nd0.035 
Mg0.7 Ca0.1 Ag0.2 
Al0.6 Cr0.1 Ge0.3 
Mg0.25 Ca0.55 Cu0.2 
Mg0.65 Ni0.15 Y0.2 
Al0.4 Ti0.4 Cu0.2 
B0.28 C0.08 Ni0.64 
Mg0.6 Cu0.3 Y0.1 
Mg0.7 Ni0.2 Ce0.1 
C0.25 Si0.1 Fe0.65 
B0.32 C0.02 Co0.66 
B0.22 Al0.12 Fe0.66 
B0.32 Mn0.07 Co0.61 
Si0.7 Ti0.11 Zr0.19 
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Y0.1 Ag0.05 
Mg0.71 Ni0.18 La0.11 
Al0.8 Ni0.08 Nd0.12 
Al0.66 Ni0.28 La0.06 
Mg0.3 Ca0.45 Cu0.25 
B0.34 Co0.33 Ni0.33 
Al0.55 Ti0.05 Cu0.4 
B0.34 Al0.04 Ni0.62 
Al0.86 Sm0.14 
B0.22 C0.14 Ni0.64 
B0.25 Si0.125 Co0.625 
Mg0.05 Al0.74 Pd0.21 
B0.2 C0.16 Ni0.64 
B0.28 Si0.12 Ni0.6 
Mg0.2 Ca0.65 Zn0.15 
B0.28 Mn0.47 Co0.25 
Al0.65 Ni0.2 Y0.15 
B0.3 Al0.08 Ni0.62 
Al0.75 Cu0.15 Ce0.1 
Al0.7 Ni0.1 Zr0.2 
Al0.6 Mn0.1 Ge0.3 
Mg0.7 Cu0.2 La0.1 
Al0.57 Mn0.18 Ge0.25 
Mg0.71 Ni0.15 Ag0.04 Gd0.1 
B0.22 Al0.16 Co0.62 
Al0.79 Ni0.08 La0.13 
B0.22 Al0.2 Ni0.58 
Al0.75 Ni0.15 Nd0.1 
B0.32 Co0.68 
B0.275 Si0.075 Co0.65 
Mg0.25 Ca0.55 Zn0.2 
Si0.25 Ti0.75 
Al0.3 Ti0.6 Cu0.1 
B0.28 Mn0.42 Co0.3 
Mg0.8 Ni0.05 Nd0.15 
Mg0.7 Cu0.2 Ce0.1 
Mg0.5 Ni0.5 
B0.2 Si0.2 Co0.6 
Mg0.7 Ni0.2 Nd0.1 
B0.2 Si0.15 Fe0.65 
C0.225 Si0.125 Fe0.65 
Mg0.57 Cu0.315 Y0.092 Nd0.023 
B0.28 Mn0.4 Co0.32 
B0.24 C0.08 Co0.68 
Mg0.6 Ni0.25 Y0.15 
Mg0.725 Ca0.05 Pd0.225 
B0.25 Mn0.7 Fe0.05 
Mg0.8 Cu0.05 Nd0.15 
Al0.65 Ni0.2 Zr0.15 
B0.225 Si0.1 Fe0.675 
Si0.6 Ti0.24 Zr0.16 
B0.2 C0.12 Co0.68 
Mg0.27 Ca0.48 Cu0.25 
Al0.25 Ti0.7 Cu0.05 
Mg0.7 Zn0.2 La0.1 
Al0.7 Fe0.2 Ce0.1 
Mg0.67 Zn0.25 La0.08 
Al0.74 Ni0.16 Nd0.1 
Mg0.55 Zn0.45 
B0.28 Mn0.36 Co0.36 
B0.24 Si0.07 Fe0.69 
B0.16 C0.16 Co0.68 
B0.3 Al0.04 Co0.66 
B0.28 Mn0.35 Co0.37 
B0.18 Al0.16 Fe0.66 
Al0.75 Ni0.15 Sm0.1 
Mg0.5 Al0.05 Zn0.45 
Al0.6 V0.05 Ge0.35 
Mg0.55 Cu0.4 Y0.05 
Mg0.585 Cu0.305 Y0.11 
B0.26 Al0.08 Co0.66 
B0.34 Ni0.66 
Mg0.58 Cu0.27 Zn0.05 Y0.1 
Be0.1 Ti0.9 
Be0.4 Ti0.3 Zr0.3 
Mg0.65 Cu0.25 Y0.05 Gd0.05 
Al0.55 V0.15 Ge0.3 
Al0.6 Ni0.1 Ge0.3 
Mg0.2 Ca0.6 Cu0.2 
Al0.2 Ti0.8 
Mg0.7 Cu0.2 Nd0.1 
C0.2 Si0.15 Fe0.65 
B0.25 Si0.1 Co0.65 
Al0.6 Ni0.3 Zr0.1 
B0.28 Mn0.31 Co0.41 
Al0.77 Ni0.1 La0.13 
B0.26 Al0.12 Ni0.62 
B0.28 Mn0.305 Co0.415 
Al0.59 Ni0.32 Zr0.09 
B0.18 Al0.2 Co0.62 
Si0.22 Ti0.78 
B0.2 Si0.13 Fe0.67 
B0.28 C0.06 Ni0.66 
Mg0.25 Ca0.5 Cu0.25 
Mg0.7 Ca0.075 Pd0.225 
Al0.5 V0.25 Ge0.25 
B0.28 Mn0.29 Co0.43 
B0.18 Al0.24 Ni0.58 
B0.28 Mn0.28800000000000003 Co0.4320000000000001 
Al0.57 Co0.18 Ge0.25 
Al0.65 Ni0.18 Zr0.17 
Mg0.3 Ca0.4 Cu0.3 
Mg0.6 Cu0.25 Y0.15 
Mg0.15 Ca0.7 Zn0.15 
Be0.3 Ti0.45 Cr0.05 Zr0.2 
B0.28 Mn0.27 Co0.45 
B0.2 Si0.125 Fe0.675 
Al0.8 Cr0.05 Ce0.15 
Al0.8 Nb0.1 Ce0.1 
B0.22 C0.12 Ni0.66 
Al0.5 Ti0.1 Cu0.4 
Si0.65 Fe0.2 Zr0.15 
B0.28 Mn0.265 Co0.455 
Mg0.23 Ca0.53 Cu0.24 
B0.2 Si0.175 Co0.625 
Mg0.3333333333333333 Ca0.3333333333333333 Cu0.3333333333333333 
B0.22 Al0.08 Fe0.7 
B0.28 Mn0.25 Co0.47 
B0.18 C0.16 Ni0.66 
Mg0.75 Ni0.1 La0.15 
Al0.8 Ni0.05 La0.15 
Al0.75 Ni0.15 Gd0.1 
Mg0.364 Ca0.272 Cu0.364 
B0.225 Si0.075 Fe0.7 
B0.285 Fe0.535 Ni0.18 
B0.14 C0.2 Ni0.66 
Al0.78 Ni0.1 Sm0.12 
Al0.59 Ni0.1 Ge0.31 
Mg0.2 Ca0.6 Zn0.2 
Mg0.25 Ca0.5 Cu0.1 Zn0.15 
B0.28 Mn0.22 Co0.5 
B0.3 Co0.7 
Al0.8 Fe0.05 Ce0.15 
Al0.45 Ti0.2 Cu0.35 
Si0.65 Ti0.15 Zr0.2 
Si0.2 Ti0.8 
B0.3 Fe0.35 Ni0.35 
C0.175 Si0.175 Fe0.65 
Al0.5 V0.1 Cu0.4 
B0.28 Mn0.21600000000000005 Co0.504 
Mg0.409 Ca0.182 Cu0.409 
B0.28 Mn0.21 Co0.51 
B0.28 Mn0.2 Co0.52 
B0.28 Si0.08 Ni0.64 
Si0.2 Ti0.75 V0.05 
Al0.8 Co0.05 Ce0.15 
Mg0.65 Cu0.1 Y0.25 
Al0.65 Ni0.15 Y0.2 
Mg0.675 Ca0.1 Pd0.225 
Mg0.455 Ca0.09 Cu0.455 
B0.14 Al0.2 Fe0.66 
B0.22 Al0.12 Co0.66 
Mg0.75 Ni0.1 Ce0.15 
Mg0.65 Ni0.25 La0.1 
Al0.4 Ti0.3 Cu0.3 
Al0.8 Ni0.05 Ce0.15 
Mg0.5 Cu0.5 
Al0.58 Ni0.32 Zr0.1 
Al0.74 Ni0.16 Gd0.1 
Si0.2 Ti0.7 V0.1 
Al0.7 Ni0.2 Ce0.1 
B0.21 Si0.09 Fe0.7 
Al0.75 Ni0.12 La0.13 
B0.175 Si0.15 Fe0.675 
B0.25 Si0.075 Co0.675 
B0.22 Si0.07 Fe0.71 
B0.22 Al0.16 Ni0.62 
Al0.8 Cu0.05 Ce0.15 
B0.28 Mn0.14400000000000002 Co0.5760000000000001 
B0.28 Mn0.14 Co0.58 
B0.17 C0.16 Ni0.67 
B0.28 C0.04 Co0.68 
Mg0.15 Ca0.65 Cu0.2 
Mg0.175 Ca0.625 Zn0.2 
Mg0.2 Ca0.6 Ga0.2 
Al0.3 Ca0.6 Ag0.1 
Si0.2 Ti0.6 V0.2 
B0.4 Co0.4 Y0.2 
Mg0.6 Ni0.2 Y0.2 
Mg0.75 Cu0.1 Ce0.15 
B0.2 Si0.1 Fe0.7 
Si0.4 Ti0.3 Ni0.3 
C0.15 Si0.2 Fe0.65 
Al0.7 Cu0.2 La0.1 
B0.29 Co0.71 
Al0.78 Ni0.1 Gd0.12 
Mg0.19 Ca0.57 Cu0.24 
Mg0.2 Ca0.55 Cu0.25 
Al0.6 Ni0.25 Y0.15 
Al0.85 Gd0.15 
Al0.5 Ti0.05 Cu0.45 
Al0.55 V0.1 Ge0.35 
B0.2 Si0.15 Co0.65 
B0.225 Si0.05 Fe0.725 
Mg0.225 Ca0.5 Cu0.275 
Mg0.675 Ca0.1 Ag0.225 
B0.24 Mn0.52 Co0.24 
B0.28 Mn0.07200000000000001 Co0.648 
Mg0.25 Ca0.45 Cu0.3 
Si0.2 Ti0.75 Ni0.05 
Al0.3 Ti0.5 Cu0.2 
B0.27 Fe0.545 Ni0.185 
Mg0.65 Cu0.15 Y0.1 Pd0.05 Ag0.05 
B0.28 Mn0.07 Co0.65 
B0.26 C0.06 Ni0.68 
Al0.7 Ni0.2 Nd0.1 
Al0.7 Cu0.2 Ce0.1 
Al0.5 V0.2 Ge0.3 
Mg0.18 Ca0.58 Cu0.24 
Al0.64 Ni0.28 La0.08 
B0.28 Si0.06 Ni0.66 
B0.24 C0.08 Ni0.68 
Mg0.69 Ni0.18 La0.13 
Mg0.318 Ca0.318 Cu0.364 
B0.24 Mn0.49 Co0.27 
B0.22 C0.1 Ni0.68 
Al0.52 Fe0.23 Ge0.25 
B0.2307692307692308 Fe0.6923076923076923 Mo0.038461538461538464 Dy0.038461538461538464 
B0.23981949070592026 Fe0.7194584721177608 Mo0.03996991511765338 Dy0.0007521220586655206 
B0.2398469062300659 Fe0.7195407186901978 Mo0.03997448437167765 Dy0.0006378907080586858 
B0.23987375065754865 Fe0.7196212519726459 Mo0.039978958442924775 Dy0.0005260389268805891 
B0.25 Fe0.75 
B0.21 Si0.07 Fe0.72 
B0.15 Si0.175 Fe0.675 
Al0.45 Ti0.15 Cu0.4 
B0.24 Mn0.48 Co0.28 
B0.2 C0.12 Ni0.68 
Mg0.364 Ca0.227 Cu0.409 
Al0.57 Ni0.32 Zr0.11 
Mg0.15 Ca0.65 Zn0.2 
Al0.2 Ca0.6 Ga0.2 
Si0.15 Ti0.85 
Mg0.6 Cu0.2 Y0.2 
Mg0.75 Ni0.1 Nd0.15 
Mg0.65 Ni0.25 Nd0.1 
C0.2 Si0.1 Fe0.7 
B0.18 Al0.16 Co0.66 
C0.125 Si0.225 Fe0.65 
Si0.6 Ti0.2 Zr0.2 
Al0.8 Ni0.05 Nd0.15 
B0.24 Si0.12 Ni0.64 
B0.24 Si0.03 Fe0.73 
B0.3 Al0.04 Ni0.66 
Al0.73 Ni0.14 La0.13 
B0.26 Al0.08 Ni0.66 
B0.175 Si0.125 Fe0.7 
B0.2398469062300659 Fe0.647586646821178 Co0.07195407186901978 Mo0.03997448437167765 Dy0.0006378907080586858 
B0.28 Co0.72 
Al0.84 Sm0.16 
B0.25 Si0.05 Co0.7 
Mg0.175 Ca0.6 Zn0.225 
Si0.15 Ti0.8 V0.05 
Mg0.65 Cu0.25 Ce0.1 
Mg0.65 Al0.1 Ag0.25 
B0.24 Si0.02 Fe0.74 
B0.24 Mn0.43 Co0.33 
B0.18 Al0.2 Ni0.62 
Al0.62 Ni0.2 Zr0.18 
B0.17 Si0.13 Fe0.7 
B0.24 Mn0.42 Co0.34 
Mg0.2 Ca0.55 Zn0.25 
Mg0.225 Ca0.475 Cu0.3 
B0.2398469062300659 Fe0.5756325749521582 Co0.14390814373803956 Mo0.03997448437167765 Dy0.0006378907080586858 
B0.2 Si0.075 Fe0.725 
Mg0.75 Cu0.1 Nd0.15 
Si0.15 Ti0.75 V0.1 
Al0.2 Ti0.7 Cu0.1 
Mg0.7 Y0.2 Ag0.1 
Al0.7 Ni0.2 Sm0.1 
B0.24 Si0.015 Ti0.03 Fe0.27 Co0.4 Zr0.03 Mo0.015 
B0.2 C0.08 Co0.72 
B0.255 Si0.085 Ni0.66 
Si0.15 Ti0.7 V0.15 
Mg0.65 Cu0.05 Y0.3 
B0.25 Fe0.65 Ni0.1 
Mg0.65 Cu0.25 Pr0.1 
Mg0.55 Al0.2 Ag0.25 
B0.16 C0.12 Co0.72 
Si0.13 Ti0.87 
B0.24 Mn0.38 Co0.38 
B0.29 Fe0.18 Ni0.53 
B0.2398469062300659 Fe0.5036785030831383 Co0.2158622156070593 Mo0.03997448437167765 Dy0.0006378907080586858 
B0.2 Si0.125 Co0.675 
Al0.3 Ti0.42 Ni0.28 
B0.24 Mn0.37 Co0.39 
B0.14 Al0.16 Fe0.7 
B0.12 C0.16 Co0.72 
Mg0.1 Ca0.7 Cu0.2 
B0.2 Cr0.4 Fe0.4 
C0.175 Si0.125 Fe0.7 
Mg0.65 Zn0.25 La0.1 
C0.1 Si0.25 Fe0.65 
Al0.5 Cu0.5 
Mg0.25 Al0.5 Pd0.25 
Si0.15 Ti0.65 V0.2 
Si0.2 Ti0.7 Ni0.1 
Mg0.6556556556556556 Cu0.25425425425425424 Gd0.09009009009009007 
Al0.57 Ni0.3 Zr0.13 
B0.18 Si0.1 Fe0.72 
B0.24 Mn0.34 Co0.42 
B0.22 Al0.08 Co0.7 
B0.26 Al0.04 Co0.7 
Si0.15 Ti0.6 V0.25 
Al0.75 Fe0.1 Ce0.15 
Mg0.15 Ca0.6 Cu0.25 
B0.2398469062300659 Fe0.4317244312141186 Co0.2878162874760791 Mo0.03997448437167765 Dy0.0006378907080586858 
B0.15 Si0.15 Fe0.7 
Mg0.65 Cu0.25 Nd0.1 
Mg0.55 Cu0.4 La0.05 
B0.27 Fe0.365 Ni0.365 
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Y0.05 Ag0.05 Gd0.05 
B0.24 Si0.1 Ni0.66 
B0.22 Fe0.72 Y0.03 W0.03 
B0.22448979591836732 Fe0.7346938775510204 Y0.040816326530612235 
B0.1 Ti0.7 Fe0.2 
B0.3 Ni0.7 
Mg0.2 Ca0.5 Cu0.3 
Mg0.272 Ca0.364 Cu0.364 
Al0.1 Ti0.9 
Si0.15 Ti0.8 Ni0.05 
Si0.15 Ti0.55 V0.3 
B0.2 Cr0.35 Fe0.45 
B0.2 Cr0.5 Co0.3 
Mg0.5 Ni0.4 Y0.1 
Mg0.675 Ca0.075 Pd0.25 
Al0.75 Ni0.1 La0.15 
B0.15 Si0.2 Co0.65 
Al0.8 Ni0.05 Sm0.15 
Mg0.4 Al0.1 Zn0.5 
Al0.7 Ni0.2 Gd0.1 
B0.21 Cr0.24 Fe0.55 
B0.24 Mn0.305 Co0.455 
B0.24 Mn0.304 Co0.456 
C0.22 Cr0.42 Co0.36 
B0.24 Ti0.12 Co0.64 
B0.14 Al0.2 Co0.66 
Al0.71 Ni0.16 La0.13 
B0.2398469062300659 Fe0.3597703593450989 Co0.3597703593450989 Mo0.03997448437167765 Dy0.0006378907080586858 
B0.175 Si0.1 Fe0.725 
B0.24 Mn0.295 Co0.465 
B0.25 Fe0.56 Ni0.19 
Mg0.318 Ca0.273 Cu0.409 
Al0.77 Nb0.13 Ce0.1 
